yyyy,Index,D12,E12,bm,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,news,vix,diffdp,diffdy,diffde,difflty,diffbm,difftbl
1970,92.15,3.14,5.13,0.646426358,0.0487,0.0764,0.0912,0.0648,-0.042255182,0.031461707,0.06988,0.055702918,0.222884141,0.121021807,0.18371379,0.023043385,0.001512501,0.03564946,0.039870726,0.001636889,NaN,NaN,-0.007326,0.1142541,0.112949,-0.0039,-0.004656,-0.0295
1971,102.09,3.07,5.7,0.643900247,0.0401,0.0725,0.0838,0.0597,-0.055290336,0.034023359,0.044959,0.032663317,0.287447328,0.132367216,0.11012586,0.010461672,0.00225388,0.035800562,0.144509656,0.109119481,NaN,NaN,-0.1249823,-0.02352,-0.127906,-0.0051,-0.002526,-0.0086
1972,118.05,3.15,6.42,0.595674595,0.0507,0.0708,0.0793,0.0599,-0.048241101,0.034203484,0.041401,0.03406326,0.311294897,0.056824421,0.072597518,0.006361602,0.000311447,0.038138888,0.191170995,0.157628575,NaN,NaN,-0.1195286,-0.07671,-0.093227,0.0002,-0.04823,0.0106
1973,97.55,3.38,8.16,0.755588463,0.0745,0.0768,0.0848,0.0726,-0.058947563,0.013007395,0.068263,0.087058824,0.333083765,-0.011103879,0.011394965,0.025068713,-0.000640199,0.039821234,-0.147965985,-0.174878956,NaN,NaN,0.2612165,-0.07478,-0.169353,0.0127,0.1599139,0.0238
1974,68.56,3.6,8.89,1.120018175,0.0715,0.0889,0.1063,0.076,-0.047779969,0.008771574,0.080761,0.123376623,0.163064474,0.043426493,-0.030617513,0.048042836,-0.000830488,0.036229402,-0.264261677,-0.296619228,NaN,NaN,0.4157139,0.2538013,-0.022625,0.0034,0.3644297,-0.003
1975,90.19,3.68,7.96,0.876338851,0.0544,0.0879,0.1056,0.0805,-0.046257168,0.023711966,0.062403,0.069364162,0.202599873,0.091868877,0.146442563,0.024263391,-0.000465116,0.032915529,0.369624806,0.3136594,NaN,NaN,-0.2522304,0.3746347,0.132477,0.0045,-0.2436793,-0.0171
1976,107.46,4.05,9.91,0.779973125,0.0435,0.0798,0.0912,0.0721,-0.03606102,0.028566554,0.05336,0.048648649,0.207928029,0.16764511,0.186468694,0.01246713,-0.001122704,0.034312259,0.239159837,0.191175251,NaN,NaN,-0.0794,-0.1784052,-0.123311,-0.0084,-0.09637,-0.0109
1977,95.1,4.67,10.89,0.960333025,0.0607,0.0819,0.0899,0.0803,-0.030072979,0.030475399,0.050371,0.067010309,0.218935901,-0.006988548,0.017097783,0.008259753,-0.00183389,0.03685332,-0.074266055,-0.116925128,NaN,NaN,0.2646319,-0.03276,0.048142,0.0082,0.1803599,0.0172
1978,96.11,5.07,12.33,1.045701296,0.0908,0.0916,0.0994,0.0898,-0.028064197,0.014850552,0.069064,0.090177134,0.219449153,-0.01165869,-0.000703563,0.015801139,-0.001548154,0.040576039,0.064114882,0.009448029,NaN,NaN,0.07162,0.2043715,-0.042009,0.0095,0.08537,0.0301
1979,107.94,5.65,14.86,1.061950068,0.1204,0.1074,0.1206,0.1012,-0.018679702,0.010514465,0.098113,0.132939439,0.220056739,-0.012503116,-0.042004106,0.011823023,-0.000371131,0.040240954,0.18587755,0.122834994,NaN,NaN,-0.007767,0.09775,-0.078323,0.0114,0.01625,0.0296
1980,135.76,6.16,14.82,0.891503024,0.1549,0.1321,0.1514,0.1199,-0.012945092,0.026816375,0.116081,0.125162973,0.278024289,-0.039529864,-0.02756526,0.027341908,0.001020158,0.037735826,0.325901839,0.259840596,-0.27,NaN,-0.1428919,-0.02966,0.089117,0.0187,-0.170447,0.0345
1981,122.55,6.63,15.36,1.061142857,0.1085,0.1423,0.1655,0.1334,-0.006464724,0.011909646,0.153848,0.089223639,0.362175137,0.018569706,-0.012361932,0.018130675,-0.001279466,0.039035042,-0.048638944,-0.096532793,-0.02,NaN,0.1758975,-0.1557851,0.037739,0.0135,0.1696398,-0.0464
1982,140.64,6.87,12.64,0.932214727,0.0794,0.1183,0.1414,0.1095,-0.002793528,0.002990053,0.114356,0.038297872,0.364753903,0.403503691,0.425618993,0.033440926,-0.001346349,0.033716284,0.221405849,0.153918596,-0.2,NaN,-0.102125,0.1379288,0.23046,-0.0239,-0.1289281,-0.0291
1983,164.93,7.09,14.03,0.700359118,0.09,0.1257,0.1375,0.1197,0.012757427,0.027056897,0.087959,0.037909836,0.430007753,0.006519063,0.062585764,0.017870769,-0.001693727,0.035974135,0.222810524,0.170127229,-0.07,NaN,-0.1277965,-0.1061631,-0.07281,0.0102,-0.2318556,0.0106
1984,167.24,7.53,16.64,0.733098377,0.0806,0.1213,0.134,0.117,0.002425224,-0.027196787,0.100475,0.039486673,0.170737412,0.15492498,0.168601577,0.016250972,-0.001127664,0.039022325,0.066899078,0.01839496,-0.01,NaN,0.0463,-0.09911,-0.110402,-0.0027,0.03274,-0.0094
1985,211.28,7.9,14.61,0.592692688,0.071,0.1016,0.1158,0.0956,0.017045157,-0.019465082,0.078797,0.037986705,0.176455391,0.30971145,0.300908898,0.01051774,-0.001721356,0.038150638,0.31979426,0.266198131,-0.02,NaN,-0.1857866,0.03406,0.178071,-0.0214,-0.1404057,-0.0096
1986,242.17,8.28,14.48,0.498430866,0.0553,0.0849,0.0997,0.0789,0.009830192,-0.011375999,0.064184,0.010978957,0.164734155,0.245212379,0.198474773,0.021676163,-0.002240325,0.035256639,0.180654052,0.138698525,-0.05,NaN,-0.08948,-0.1867742,0.055918,-0.0167,-0.09426,-0.0157
1987,247.08,8.81,17.5,0.508812016,0.0577,0.1011,0.1129,0.092,0.022723397,0.013274756,0.059246,0.044343891,0.150406825,-0.027165685,-0.002675911,0.10332703,-0.00270069,0.034680415,0.051557898,0.016420105,-0.04,NaN,0.04197,-0.07441,-0.127388,0.0131,0.01038,0.0024
1988,277.72,9.75,23.75,0.465283574,0.0807,0.0957,0.1065,0.0918,0.023838098,-0.021405747,0.06442,0.044194108,0.114644401,0.096665852,0.107041209,0.029262023,-0.002291317,0.035065793,0.169617622,0.120568113,0.05,NaN,-0.01552,0.08131,-0.204002,-0.0002,-0.04353,0.023
1989,353.4,11.055,22.87,0.390454744,0.0763,0.0886,0.0982,0.0816,0.034406834,-0.012333537,0.084528,0.046473029,0.097787238,0.180974998,0.162313634,0.017238884,-0.002928834,0.035166134,0.313706518,0.267514017,0.05,NaN,-0.1153716,0.008714,0.163372,-0.0102,-0.07483,-0.0044
1990,330.22,12.086,21.34,0.48449686,0.0674,0.0905,0.1043,0.0844,0.033518414,-0.001845908,0.078775,0.061062649,0.078345326,0.0616925,0.067827349,0.02545019,-0.002338233,0.033511317,-0.031922098,-0.066185682,-0.03,22.57,0.1570064,-0.1518222,0.158408,0.0028,0.09404,-0.0089
1991,417.09,12.203,15.97,0.420344417,0.0407,0.0831,0.0926,0.073,0.028910176,0.031812384,0.059896,0.03064275,0.152766953,0.1926494,0.198889668,0.02067968,-0.001253216,0.031424872,0.306716848,0.265983041,-0.11,17.440001,-0.2239089,0.07748,0.299505,-0.0114,-0.06415,-0.0267
1992,435.71,12.385,19.09,0.394109614,0.0322,0.0798,0.0881,0.0726,0.015591381,0.038828688,0.037205,0.029006527,0.150194882,0.080535796,0.093934337,0.009422463,-0.001111524,0.032786832,0.077210467,0.045915917,0.02,15.36,-0.02887,-0.2187387,-0.163648,-0.0004,-0.02623,-0.0085
1993,466.45,12.577,21.89,0.305267223,0.0306,0.0693,0.0769,0.0654,0.029732568,0.04572687,0.030825,0.027484144,0.144115072,0.182345818,0.13185004,0.007417884,-0.001012497,0.034152457,0.098914427,0.068584607,0.19,12.43,-0.05279,-0.02829,-0.121482,-0.0072,-0.08884,-0.0016
1994,459.27,13.17,30.6,0.2915683,0.056,0.0846,0.091,0.0799,0.038738521,0.016594293,0.038849,0.026748971,0.120390285,-0.077770776,-0.057610696,0.009652284,-0.000576007,0.035685898,0.013609558,-0.014877025,0.19,13.86,0.06158,-0.0221,-0.288898,0.0145,-0.0137,0.0254
1995,615.93,13.788,33.96,0.255026383,0.0514,0.0682,0.0749,0.0603,0.041388057,0.015526517,0.056353,0.025384102,0.12124072,0.316564929,0.272042355,0.006427151,-0.000146604,0.036642111,0.376853868,0.342753758,0.09,12.295,-0.2476379,0.06137,-0.058326,-0.0196,-0.03654,-0.0046
1996,740.74,14.899,38.73,0.20734273,0.0491,0.072,0.0789,0.0673,0.046969791,0.024125687,0.051672,0.033224756,0.198665864,-0.009184554,0.01401567,0.014077612,-0.000396755,0.038824114,0.232180899,0.205370245,0.13,16.245,-0.1070209,-0.2159996,-0.053936,0.007,-0.04768,-0.0023
1997,970.43,15.497,39.72,0.178800884,0.0516,0.0676,0.0732,0.0602,0.047185793,0.015559471,0.050764,0.01702396,0.142700117,0.158659371,0.129494216,0.033200072,-0.000888779,0.040219715,0.336082603,0.312675327,0.27,20.950001,-0.2307372,-0.145164,0.014112,-0.0071,-0.02854,0.0025
1998,1229.23,16.195,37.71,0.173611315,0.0439,0.0622,0.0723,0.0542,0.037922013,0.020057029,0.050374,0.016119033,0.120658603,0.130704037,0.10755564,0.041258121,-0.001033873,0.042103893,0.293010082,0.273919645,0.08,23.1449995,-0.1923479,-0.2260335,0.095986,-0.006,-0.00519,-0.0077
1999,1469.25,16.692,48.17,0.147167259,0.052,0.0755,0.0819,0.0682,0.040038408,0.017888756,0.045972,0.026845638,0.13845605,-0.089898841,-0.074542595,0.032677859,0.000064278,0.042574431,0.213508139,0.197948171,0.2,24.1049995,-0.1481371,-0.206177,-0.214584,0.014,-0.02644,0.0081
2000,1320.28,16.271,50,0.151851504,0.0577,0.0721,0.0802,0.0558,0.037380217,-0.002261747,0.057655,0.033868093,0.140989561,0.214934372,0.128545365,0.049216562,-0.000524853,0.042939836,-0.085093015,-0.095480938,0.25,23.2399995,0.08136,-0.2039093,-0.062832,-0.0124,0.004684,0.0057
2001,1148.08,15.74,24.69,0.131217846,0.0169,0.0677,0.0805,0.0575,0.030135205,0.013464825,0.041411,0.015517241,0.086543116,0.037027522,0.106366572,0.045605697,-0.001336167,0.037531039,-0.119113543,-0.130692843,0.06,24.26,0.1065737,0.07373,0.672446,0.0017,-0.02063,-0.0408
2002,879.82,16.074,27.59,0.295385896,0.0119,0.0621,0.0745,0.0484,0.010398883,0.025735981,0.017134,0.0237691,0.082027658,0.178413928,0.166415175,0.067692321,-0.004144305,0.034090067,-0.217776499,-0.230561456,-0.08,26.3900005,0.2871267,0.1607507,-0.090057,-0.0091,0.164168,-0.005
2003,1111.92,17.385,48.74,0.218739865,0.009,0.0562,0.066,0.0515,0.010984748,0.006946316,0.010491,0.018794914,0.072423089,0.008959396,0.052725551,0.029260778,NaN,0.035067854,0.286921495,0.263896044,0.02,19.8549995,-0.1557215,0.3445336,-0.490642,0.0031,-0.07665,-0.0029
2004,1211.92,19.442,58.55,0.270619243,0.0219,0.0547,0.0615,0.0484,0.013184878,0.013001505,0.011952,0.032555616,0.078297462,0.084973184,0.087211543,0.012291491,NaN,0.035904078,0.10969037,0.087381828,0.24,15.325,0.02571,-0.1222983,-0.071553,-0.0031,0.05188,0.0129
2005,1248.29,22.216,69.83,0.313477957,0.0389,0.0537,0.0632,0.0461,0.032135108,0.003058886,0.028599,0.034156595,0.051071208,0.078075593,0.058722731,0.010540587,NaN,0.03642145,0.052074625,0.032873386,0.25,12.52,0.1038083,0.04726,-0.042806,-0.0023,0.04286,0.017
2006,1418.3,24.884,81.51,0.2816824,0.0485,0.0532,0.0622,0.0491,0.034179679,-0.015036779,0.045763,0.025406504,0.049123339,0.011759539,0.032355359,0.010061623,NaN,0.037512839,0.156801525,0.135087506,0.26,12,-0.01427,0.08384,-0.04125,0.003,-0.0318,0.0096
2007,1468.36,27.732,66.181,0.250582973,0.03,0.0549,0.0665,0.045,0.030016335,-0.040637294,0.046513,0.040812686,0.077726497,0.098927963,0.025890017,0.025359767,NaN,0.038252875,0.057184644,0.037261818,0.09,16.43,0.07367,-0.01932,0.316694,-0.0041,-0.0311,-0.0185
2008,903.25,28.387,14.88,0.354984225,0.0003,0.0505,0.0843,0.0303,0.017466969,-0.024498464,0.018242,0.000914129,0.217403737,0.258617706,0.087896464,0.168488573,NaN,0.033840944,-0.364595534,-0.379607536,-0.28,25.1,0.5092464,-0.01134,1.51572,-0.0147,0.1044013,-0.0297
2009,1115.1,22.405,50.97,0.32553066,0.0005,0.0526,0.0637,0.0458,-0.00842267,0.010594468,0.001351,0.027213311,0.197135238,-0.148982727,0.030012264,0.074395519,NaN,0.029637402,0.264801813,0.232909808,-0.26,28.5699995,-0.4473471,0.2492549,-1.467866,0.0155,-0.02945,0.0002
2010,1257.64,22.729,77.35,0.358100317,0.0014,0.0502,0.061,0.0414,-0.009375609,0.012611849,0.001175,0.014957235,0.129701667,0.10143661,0.124387394,0.032532519,NaN,0.031619655,0.151520841,0.126973639,-0.12,21.719999,-0.1059354,-0.1963425,-0.402746,-0.0044,0.03257,0.0009
2011,1257.6,26.425,86.95,0.357232541,0.0001,0.0393,0.0525,0.0248,-0.004723718,-0.006497331,0.000725,0.029624188,0.128186243,0.270962454,0.179396406,0.053954875,NaN,0.033837378,0.018230823,-0.002845713,-0.19,20.7150005,0.1507007,0.03038,0.033676,-0.0166,-0.0008678,-0.0013
2012,1426.19,31.247,86.51,0.349032443,0.0007,0.0365,0.0463,0.0241,-0.008498425,-0.011549118,0.000725,0.017410224,0.116498101,0.034386179,0.106748469,0.01617646,NaN,0.034449823,0.160961149,0.134092198,-0.07,17.5150005,0.04181,0.1676446,0.172686,-0.0007,-0.0082,0.0006
2013,1848.36,34.992,100.2,0.304408126,0.0007,0.0462,0.0538,0.0367,0.013184345,0.012143942,0.000575,0.015017356,0.128662278,-0.127860884,-0.070794925,0.012483037,NaN,0.035292871,0.325263072,0.297248463,0,13.745,-0.1460961,-0.01261,-0.033712,0.0126,-0.04462,0
2014,2058.9,39.443,102.31,0.323755672,0.0003,0.0379,0.0474,0.024,0.006591762,0.005625039,0.00045,0.007564933,0.10932131,0.247417149,0.172740669,0.012929521,NaN,0.03641046,0.135258968,0.112101849,0.07,13.67,0.01186,-0.1395551,0.098898,-0.0127,0.01935,-0.0004
2015,2043.94,43.388,86.53,0.313648814,0.0023,0.0397,0.0546,0.0243,-0.00701097,-0.022251554,0.00025,0.007295198,0.10325317,-0.006406586,-0.010095966,0.02391041,NaN,0.035168165,0.014935095,-0.006697014,0.11,15.315,0.1026189,-0.01255,0.262843,0.0003,-0.01011,0.002
2016,2238.83,45.701,94.55,0.293479097,0.0051,0.0406,0.0483,0.0272,-0.006256552,-0.025107879,0.002703,0.020746221,0.089541671,0.017610746,0.067008052,0.017119141,NaN,0.034912351,0.117976345,0.093351407,0.065,14.31,-0.03914,0.05923,-0.0367,0.0029,-0.02017,0.0028
2017,2673.61,48.932,109.88,0.235393343,0.0132,0.0351,0.0422,0.0254,-0.006707225,-0.019878875,0.008174,0.021090825,0.077460349,0.062342336,0.122435337,0.004563063,NaN,0.035432687,0.219860233,0.195310445,0.2,10.85,-0.1091648,-0.02276,-0.081949,-0.0018,-0.05809,0.0081
2018,2506.85,53.748,132.39,0.268166907,0.0237,0.0402,0.0513,0.0284,-0.016724852,-0.019227909,0.017741,0.019101589,0.081068869,-0.005623594,-0.047362017,0.028855034,NaN,0.035818495,-0.044919159,-0.063535083,0.03,15.49,0.1582775,-0.0836,-0.092488,0.003,0.03277,0.0105
2019,3230.78,58.24,139.47,0.221429501,0.0154,0.0301,0.0388,0.0186,-0.02622617,-0.007199155,0.022258,0.022851297,0.093927666,0.121652219,0.199393866,0.015757641,NaN,0.035386964,0.314993929,0.28899053,-0.07,14.865,-0.1734307,0.1446686,0.028169,-0.0098,-0.04674,-0.0083
2020,3756.07,58.279,94.13,0.216369517,0.0009,0.0226,0.0316,0.0093,-0.144457214,-9.79E-05,0.005256,0.013620055,0.129298886,0.166611839,0.153948992,0.118727021,NaN,0.032975433,0.193039283,0.171270308,-0.295,26.700001,-0.1499802,-0.2530272,0.393842,-0.0093,-0.00506,-0.0145
2021,4766.18,60.397,197.87,0.175598949,0.0006,0.0265,0.033,0.0147,-0.105336319,0.012974421,0.0005,0.070364029,0.166104521,-0.054275013,-0.026525913,0.017330919,NaN,0.033450956,0.28475436,0.266829544,0.05,18.6850005,-0.2024743,-0.114952,-0.707236,0.0054,-0.04077,-0.0003
2022,3839.5,66.923,172.75,0.216198725,0.0425,0.0443,0.0559,0.0362,-0.005055998,-0.021255225,0.012844,0.064544013,0.047872706,-0.124626493,-0.157615714,0.058111642,NaN,0.034075384,-0.1818862,-0.19528849,-0.12,25.469999,0.3188063,-0.1355687,0.238368,0.0215,0.0406,0.0419
2023,4769.83,70.304,192.43,0.194279999,0.0524,0.0474,0.0564,0.0402,-0.021569707,-0.017441345,0.049439,0.033521228,0.044938871,0.040532081,0.085186308,0.017141646,NaN,0.034337103,0.266135653,0.24561599,-0.06,16.9350005,-0.1676825,0.265489,-0.058601,0.004,-0.02192,0.0099
